Country,Code,Patience
Afghanistan,AFG,-0.20136012
Algeria,DZA,0.059815247
Argentina,ARG,-0.22930798
Australia,AUS,0.65700376
Austria,AUT,0.60828501
Bangladesh,BGD,0.081136711
Bolivia,BOL,0.071331106
Bosnia and Herzegovina,BIH,-0.24725771
Botswana,BWA,0.23399034
Brazil,BRA,-0.26004019
Cambodia,KHM,-0.11989903
Cameroon,CMR,-0.42749417
Canada,CAN,0.71847945
Chile,CHL,-0.15540831
China,CHN,0.39810467
Colombia,COL,-0.34593233
Costa Rica,CRI,-0.16306733
Croatia,HRV,-0.093713462
Czechia,CZE,0.38435131
Egypt,EGY,-0.38319451
Estonia,EST,0.025314417
Finland,FIN,0.59955418
France,FRA,0.35687107
Georgia,GEO,-0.48542792
Germany,DEU,0.62439817
Ghana,GHA,0.084618963
Greece,GRC,-0.3600854
Guatemala,GTM,-0.25725538
Haiti,HTI,-0.37565595
Hungary,HUN,-0.43091628
India,IND,-0.10873283
Indonesia,IDN,-0.36182091
Iran,IRN,-0.38071907
Iraq,IRQ,-0.41695645
Israel,ISR,0.45680538
Italy,ITA,0.10848816
Japan,JPN,0.10841259
Jordan,JOR,-0.41847619
Kazakhstan,KAZ,-0.25865525
Kenya,KEN,-0.076222688
Lithuania,LTU,-0.061742526
Malawi,MWI,-0.045587365
Mexico,MEX,-0.10842811
Moldova,MDA,0.1950139
Morocco,MAR,-0.31072527
Netherlands,NLD,0.95170778
Nicaragua,NIC,-0.61252034
Nigeria,NGA,-0.20041943
Pakistan,PAK,-0.083107993
Peru,PER,-0.10892991
Philippines,PHL,0.099112764
Poland,POL,0.071672253
Portugal,PRT,-0.31163776
Romania,ROU,-0.26815102
Russia,RUS,-0.075277947
Rwanda,RWA,-0.60603017
Saudi Arabia,SAU,0.20012197
Serbia,SRB,-0.13782071
South Africa,ZAF,0.057912029
South Korea,KOR,0.36924976
Spain,ESP,0.19847375
Sri Lanka,LKA,-0.10092623
Suriname,SUR,0.006719469
Sweden,SWE,1.0714524
Switzerland,CHE,0.66974211
Tanzania,TZA,-0.32498023
Thailand,THA,-0.2297256
Turkey,TUR,-0.047398899
Uganda,UGA,-0.25525561
Ukraine,UKR,-0.18166576
United Arab Emirates,ARE,-0.091318652
United Kingdom,GBR,0.5350247
United States,USA,0.81126213
Venezuela,VEN,-0.22711751
Vietnam,VNM,0.11049969
Zimbabwe,ZWE,-0.23858719
